0.0359689	-0.0000000
0.0609102	0.0000000
0.0485546	-0.0000000
0.0111325	-0.0000000
0.0014137	-0.0000000
0.0000000	0.0024029
0.0048598	-0.0000000
-0.0359689	-0.0000000
-0.0609102	0.0000000
-0.0485546	-0.0000000
-0.0111325	0.0000000
0.0014137	0.0000000
0.0000000	0.0024029
-0.0048598	0.0000000
0.0229494	-0.0533559
0.0360601	-0.1096978
0.0249990	-0.1533972
0.0054430	-0.1029862
0.0079763	-0.0040993
0.0031879	0.0003778
0.0029478	-0.0026632
-0.0229494	0.0533559
-0.0360601	0.1096978
-0.0249990	0.1533972
-0.0054430	0.1029862
0.0079763	-0.0040993
0.0031879	0.0003778
-0.0029478	0.0026632
-0.0229494	-0.0533559
-0.0360601	-0.1096978
-0.0249990	-0.1533972
-0.0054430	-0.1029862
0.0079763	0.0040993
-0.0031879	0.0003778
-0.0029478	-0.0026632
0.0229494	0.0533559
0.0360601	0.1096978
0.0249990	0.1533972
0.0054430	0.1029862
0.0079763	0.0040993
-0.0031879	0.0003778
0.0029478	0.0026632
0.0000000	0.0000000
0.0000000	-0.0000000
-0.0000000	-0.0000000
-0.0000000	0.0000000
-0.0000000	-0.0000000
-0.1259478	0.0000000
0.0000000	-0.2548188
-0.0000000	0.0000000
-0.2000523	-0.0000000
0.0000000	-0.4000970
-0.0000000	-0.0000000
-0.0983287	0.0000000
0.0000000	-0.5679623
0.0000000	0.0000000
0.1039375	0.0000000
-0.0000000	-0.2364361
-0.0000000	-0.0000000
-0.0000000	-0.0000000
0.0000000	0.0000000
-0.0000000	-0.0000000
-0.0503237	0.0000000
-0.0000000	-0.0233051
-0.0000000	-0.0000000
0.0168694	-0.0000000
0.0269546	-0.0000000
-0.0836903	0.0000000
-0.1033754	-0.0000000
-0.1560377	-0.0000000
0.1180465	-0.0000000
-0.0000000	0.0170830
0.0672798	-0.0000000
0.1687059	0.0000000
0.0000000	0.0167438
0.1020229	0.0000000
0.1335538	0.0000000
-0.0000000	0.0145636
0.0728293	-0.0000000
0.0195491	0.0000000
0.0000000	0.0349304
0.0339521	-0.0000000
-0.0006920	-0.0000000
0.0000000	0.0258566
0.0032115	0.0000000
-0.0112046	0.0000000
0.0000000	0.0277674
-0.0020746	0.0000000
-0.0168694	-0.0000000
-0.0269546	-0.0000000
0.0836903	-0.0000000
0.1033754	0.0000000
0.1560377	0.0000000
0.1180465	-0.0000000
-0.0000000	0.0170830
-0.0672798	0.0000000
0.1687059	0.0000000
0.0000000	0.0167438
-0.1020229	-0.0000000
0.1335538	-0.0000000
-0.0000000	0.0145636
-0.0728293	0.0000000
0.0195491	0.0000000
-0.0000000	0.0349304
-0.0339521	-0.0000000
0.0006920	-0.0000000
-0.0000000	-0.0258566
-0.0032115	-0.0000000
-0.0112046	-0.0000000
0.0000000	0.0277674
0.0020746	-0.0000000
0.0000000	0.0000000
0.0000000	0.0000000
-0.0000000	0.0000000
-0.0000000	-0.0000000
0.0000000	0.0000000
0.2152626	0.0000000
0.0000000	0.1733112
0.0000000	0.0000000
0.3150187	-0.0000000
-0.0000000	0.2492544
0.0000000	0.0000000
0.2911846	0.0000000
-0.0000000	0.3012649
0.0000000	-0.0000000
0.0410509	-0.0000000
0.0000000	0.2057422
0.0000000	0.0000000
-0.0000000	0.0000000
0.0000000	-0.0000000
0.0000000	0.0000000
0.0027611	0.0000000
-0.0000000	-0.0113048
0.0000000	0.0000000
